avgRSRP,towers,RSSI,drone,avgRSRQ
-100,4,-57,0,-14.75
-97,4,-61,0,-13.75
-95,3,-61,0,-12
-97,3,-63,0,-13.66666667
-98,3,-63,0,-12.66666667
-97.5,4,-63,0,-13.5
-98,4,-63,0,-14.25
-95.33333333,3,-55,0,-12.33333333
-95,3,-51,0,-12
-95.66666667,3,-59,0,-12.66666667
-94.66666667,3,-57,0,-13
-97.75,4,-61,0,-14.25
-97.5,4,-61,0,-15.25
-97.25,4,-63,0,-15.5
-95.75,4,-57,0,-15
-92.33333333,3,-51,0,-13.33333333
-94.75,4,-51,0,-14.75
-95.75,4,-55,0,-14.25
-96.66666667,3,-59,0,-14.33333333
-95,3,-61,0,-13.33333333
-95.33333333,3,-59,0,-13.33333333
-95.5,4,-59,0,-14.75
-92.5,4,-57,0,-13.5
-92.33333333,3,-55,0,-12.33333333
-93.66666667,3,-55,0,-12
-96,3,-61,0,-13
-96,3,-63,0,-13.33333333
-96.5,4,-61,0,-13.5
-96,4,-61,0,-12.75
-95.33333333,3,-57,0,-12.33333333
-96,3,-57,0,-14
-97.75,4,-63,0,-14
-95.75,4,-61,0,-13.25
-94.66666667,3,-61,0,-12.33333333
-95,3,-55,0,-14
-94.33333333,3,-53,0,-14
-95.5,4,-55,0,-14.5
-95.4,5,-57,0,-14.4
-96.66666667,6,-57,0,-14.66666667
-97.2,5,-61,0,-13.8
-83.5,2,-51,0,-14
-83.5,2,-51,0,-13.5
-83.5,2,-51,0,-14
-83.5,2,-51,0,-14
-83.5,2,-51,0,-13.5
-88,2,-51,0,-12.5
-89,2,-51,0,-14
-90.5,2,-53,0,-14
-90,2,-53,0,-14
-88,2,-55,0,-13.5
-83.5,2,-53,0,-14
-87.5,2,-53,0,-14.5
-85,1,-51,0,-8
-75,1,-51,0,-9
-59,2,-51,0,-5.5
-56.5,2,-51,0,-5.5
-91.5,2,-55,0,-13
-87,2,-51,0,-13
-82,2,-51,0,-12.5
-94,2,-51,0,-13.5
-62.33333333,3,-51,1,-12
-64.125,8,-51,1,-14.75
-63.42857143,7,-51,1,-15.28571429
-64.125,8,-51,1,-15.875
-63.75,8,-51,1,-15.375
-64.625,8,-51,1,-15.375
-63.5,8,-51,1,-15.625
-63.375,8,-51,1,-15.25
-63.875,8,-51,1,-15.875
-67.83333333,6,-51,1,-15
-66.83333333,6,-51,1,-14.5
-67.66666667,6,-51,1,-15.5
-68.16666667,6,-51,1,-14.83333333
-66.71428571,7,-51,1,-15.14285714
-65.66666667,6,-51,1,-15.16666667
-64.66666667,6,-51,1,-16.16666667
-65,5,-51,1,-16
-55.25,4,-51,1,-15.25
-55.25,4,-51,1,-15.25
-64.8,5,-51,1,-13.4
-63.25,4,-51,1,-14.25
-64.75,4,-51,1,-14.25
-65.25,4,-51,1,-14.75
-62,5,-51,1,-14.8
-65.8,5,-51,1,-14.2
-63.2,5,-51,1,-13.8
-56.25,4,-51,1,-14.75
-57,4,-51,1,-16
-68.6,5,-51,1,-14.8
-66.2,5,-51,1,-14.4
-66.4,5,-51,1,-14.4
-66.6,5,-51,1,-14.8
-83.66666667,6,-51,1,-17
-84.66666667,3,-51,1,-17.66666667
-83,3,-51,1,-17
-84.5,6,-51,1,-17.66666667
-83.83333333,6,-51,1,-17.16666667
-75.5,6,-51,1,-17.16666667
-82,5,-51,1,-17.4
-75.57142857,7,-51,1,-16.85714286
-59.33333333,6,-51,1,-9.666666667
-67,4,-51,1,-12.75
-82.25,4,-51,1,-19
-80.57142857,7,-51,1,-17.57142857
-72,5,-51,1,-15
-79,6,-51,1,-16.33333333
-78.33333333,6,-51,1,-16
-80,5,-51,1,-16.2
-74.57142857,7,-51,1,-14.57142857
-81,7,-51,1,-17
-79.57142857,7,-51,1,-16.42857143
-74.5,4,-51,1,-16.5
-75.5,4,-51,1,-16
-70.6,5,-51,1,-13.4
-58.25,4,-51,1,-8.75
-70.6,5,-51,1,-14
-72.16666667,6,-51,1,-15
-72.5,6,-51,1,-15.16666667
-72.5,6,-51,1,-15.16666667
-72.5,6,-51,1,-15.33333333
-79.5,4,-51,1,-19
-78,5,-51,1,-17.2
-71.25,4,-51,1,-16.5
-70.4,5,-51,1,-16.8
-67.75,8,-51,1,-12.375
-75.66666667,9,-51,1,-16.55555556
-76.2,5,-51,1,-16.4
-71.375,8,-51,1,-14.25
-73,4,-51,1,-13.25
-73,3,-51,1,-14.33333333
-68,3,-51,1,-13.66666667
-69,3,-51,1,-14.66666667
-92.11111111,9,-59,0,-15.33333333
-91.11111111,9,-59,0,-14.66666667
-90.90909091,11,-51,0,-14.81818182
-93.22222222,9,-57,0,-15
-94.36363636,11,-59,0,-15.09090909
-90.84615385,13,-51,0,-14.92307692
-94.84615385,13,-57,0,-15.30769231
-95.58333333,12,-59,0,-14.66666667
-95,11,-57,0,-15.09090909
-94.81818182,11,-55,0,-15
-95.09090909,11,-59,0,-14.63636364
-94.6,10,-59,0,-14.3
-94.9,10,-59,0,-14.2
-91.88888889,9,-59,0,-14.66666667
-90.77777778,9,-57,0,-13.88888889
-94,8,-57,0,-14.5
-94.125,8,-61,0,-14.375
-94,8,-61,0,-14.25
-94,8,-61,0,-14.375
-94,8,-61,0,-14.375
-93.875,8,-61,0,-14.375
-93.625,8,-59,0,-14.375
-92.875,8,-59,0,-13.75
-92.875,8,-59,0,-14.75
-93,8,-59,0,-13.875
-93.25,8,-59,0,-14.125
-93,8,-55,0,-14.25
-93.44444444,9,-59,0,-15.22222222
-94,9,-61,0,-14.77777778
-93.125,8,-57,0,-14.25
-93.375,8,-57,0,-14.5
-93.5,8,-61,0,-14.875
-103,4,-65,0,-17.25
-96.6,5,-63,0,-15.8
-93.33333333,6,-57,0,-15.5
-94.4,5,-55,0,-16.2
-94.2,5,-51,0,-15
-94,5,-55,0,-14.2
-94.4,5,-55,0,-15.4
-94.2,5,-55,0,-16
-85.875,8,-51,1,-16.25
-85.25,8,-51,1,-15.5
-85.125,8,-51,1,-15
-85.42857143,7,-51,1,-15.71428571
-86,7,-51,1,-16.28571429
-86.66666667,6,-51,1,-16.16666667
-86.5,6,-51,1,-15.83333333
-88,6,-51,1,-16.83333333
-87,6,-51,1,-16.66666667
-87.5,8,-51,1,-17.75
-86.375,8,-51,1,-16.25
-87.5,6,-51,1,-16.83333333
-86.25,8,-51,1,-17.125
-84.1,10,-51,1,-16
-85.57142857,7,-51,1,-16.28571429
-85.71428571,7,-51,1,-17
-84.625,8,-51,1,-15.25
-85,7,-51,1,-15.85714286
-84.71428571,7,-51,1,-15.28571429
-85.28571429,7,-51,1,-16
-84.57142857,7,-51,1,-15.71428571
-84.77777778,9,-51,1,-15.77777778
-85.71428571,7,-51,1,-16
-78.5,4,-51,1,-15.5
-78,4,-51,1,-16.5
-80.44444444,9,-51,1,-15.66666667
-79.75,4,-51,1,-16.5
-80.33333333,6,-51,1,-15.33333333
-79.16666667,6,-51,1,-14.66666667
-80,8,-51,1,-14.625
-79.42857143,7,-51,1,-14.71428571
-80.75,8,-51,1,-16
-82.25,8,-51,1,-15
-81.57142857,7,-51,1,-15.85714286
-81.33333333,6,-51,1,-15.5
-82.71428571,7,-51,1,-17.28571429
-81.16666667,6,-51,1,-15
-82.14285714,7,-51,1,-15.42857143
-81.16666667,6,-51,1,-14.33333333
-80.2,5,-51,1,-16
-84.77777778,9,-51,1,-16.55555556
-84.42857143,7,-51,1,-15.85714286
-85.875,8,-51,1,-16.25
-86.66666667,12,-51,1,-15.58333333
-86,10,-51,1,-15.4
-86.22222222,9,-51,1,-15.55555556
-85.5,8,-51,1,-14.875
-86,6,-51,1,-15.16666667
-86.33333333,6,-51,1,-15.33333333
-83.83333333,6,-51,1,-14.33333333
-73,7,-51,1,-11.71428571
-84.75,8,-51,1,-14.875
-85.77777778,9,-51,1,-16.33333333
-84.16666667,6,-51,1,-15
-84.85714286,7,-51,1,-15.28571429
-85,7,-51,1,-15.14285714
-84.27272727,11,-51,1,-15.72727273
-85,7,-51,1,-15.14285714
-86,7,-51,1,-15.28571429
-86.5,8,-51,1,-16.625
-85.7,10,-51,1,-15.3
-81.5,4,-51,1,-17
-82,3,-51,1,-16.66666667
-83.5,4,-51,1,-16.25
-81.4,5,-51,1,-18.2
-82.75,4,-51,1,-15.25
-84,5,-51,1,-16
-83.6,5,-51,1,-17.2
-73.4,5,-51,1,-12.4
-85.375,8,-51,1,-17.25
-83.125,8,-51,1,-15.375
-84,8,-51,1,-14.875
-83.875,8,-51,1,-15.125
-83.57142857,7,-51,1,-14.42857143
-84.83333333,6,-51,1,-15.5
-81.57142857,7,-51,1,-15.14285714
-82.28571429,7,-51,1,-15.57142857
-81.66666667,6,-51,1,-15.16666667
-86,8,-51,1,-17.125
-83,9,-51,1,-16
-102.75,4,-73,0,-12.75
-99.75,4,-69,0,-13.5
-101.75,4,-69,0,-12.75
-103,5,-69,0,-13.8
-100.4,5,-67,0,-13.6
-98,3,-61,0,-10.66666667
-98,3,-67,0,-10
-97.66666667,3,-63,0,-10.33333333
-96.5,4,-67,0,-12
-99.25,4,-67,0,-11.75
-98.16666667,6,-63,0,-13.66666667
-103.5,6,-57,0,-14
-98,4,-65,0,-13.5
-100,5,-69,0,-13.2
-100.5,4,-71,0,-13.25
-102,4,-69,0,-12.5
-100,4,-67,0,-12.75
-103.4,5,-67,0,-12.2
-107.5,6,-73,0,-13
-107.5714286,7,-73,0,-14.14285714
-106.8571429,7,-69,0,-14.14285714
-104.2,5,-67,0,-12.4
-104.6,5,-69,0,-13
-104.6666667,6,-67,0,-13.5
-103.8333333,6,-69,0,-13.33333333
-104,5,-67,0,-13
-103.25,4,-67,0,-11.5
-102.75,4,-61,0,-12
-102.8,5,-67,0,-13
-102.8,5,-63,0,-13.4
-102.75,4,-65,0,-11.25
-104.6,5,-65,0,-12.8
-103.8333333,6,-67,0,-13.33333333
-105.25,4,-65,0,-18
-105.3333333,3,-69,0,-16
-106,2,-67,0,-12.5
-105,3,-69,0,-13
-101,3,-65,0,-12.33333333
-106.3333333,6,-71,0,-13.16666667
-110.1666667,6,-71,0,-14.83333333
