"RSSI, Delt RSRP, Std Dev RSRP, Lat, Long, Altitude, Speed, Classification, Time Elasped"
-51,-1,3.265986323710904,4739.6440N,12206.3420W,1.0,0.0,0,15.017671906000032
-51,1,4.445971959725642,4739.6440N,12206.3419W,3.2,3.0,0,30.03528358300082
-51,-3,2.422120283277993,4739.6436N,12206.3417W,1.5,0.0,0,45.05281971500062
-51,-3,3.331666249791536,4739.6432N,12206.3415W,0.7,0.0,0,60.07039063299999
-51,-1,2.8809720581775866,4739.6433N,12206.3423W,0.8,0.0,0,75.08338025500052
-51,1,5.036533199202271,4739.6432N,12206.3424W,1.7,0.0,0,90.10091688600005
-51,4,3.9370039370059056,4739.6433N,12206.3422W,2.2,0.0,0,105.11938254500001
-51,3,3.2071349029490923,4739.6433N,12206.3422W,2.2,0.0,0,120.13692958200045
-51,2,2.9920529661723827,4739.6434N,12206.3435W,0.5,1.0,0,135.1543921880002
-51,-13,4.18045338165497,4739.6406N,12206.3550W,3.9,4.2,0,150.17186590600068
-51,-2,2.1499353995462798,4739.6434N,12206.3674W,4.2,4.2,0,165.19009580500006
-51,-1,2.1213203435596424,4739.6478N,12206.3799W,4.3,3.2,0,180.20859037600076
-51,0,3.605551275463989,4739.6479N,12206.3945W,4.9,4.5,0,195.22965614700024
-53,7,4.677368680976279,4739.6502N,12206.3955W,4.9,0.6,0,210.24965009900006
-51,3,4.301162633521313,4739.6501N,12206.3960W,1.9,0.0,0,225.27061897500062
-51,4,3.04724700110022,4739.6494N,12206.3952W,3.6,0.0,0,240.288107718
-51,-3,4.969909455915671,4739.6492N,12206.3975W,3.2,0.0,0,255.30567419900035
-51,-1,4.43846820423443,4739.6493N,12206.3975W,3.4,0.0,0,270.3213918930005
-51,-4,5.357238094391549,4739.6503N,12206.3894W,4.3,8.6,0,285.33890149500075
-51,-2,4.167333280008532,4739.6611N,12206.4033W,4.5,19.3,0,300.35737550400063
-51,0,2.2886885410853175,4739.6534N,12206.5054W,5.5,32.6,0,315.37609825100026
-51,1,2.136976056643281,4739.6576N,12206.5775W,5.3,25.5,0,330.39139111700024
-51,-8,4.324349662087931,4739.6718N,12206.6163W,6.7,11.2,0,345.40880577999997
-51,-3,1.6431676725154982,4739.6401N,12206.6429W,6.7,21.8,0,360.4262129540002
-51,4,3.4351128074635335,4739.6103N,12206.6640W,5.1,18.2,0,375.4436353730007
-51,-13,5.029910535983717,4739.6092N,12206.7127W,3.5,0.0,0,390.46101090699995
-51,-8,3.723797345005051,4739.6087N,12206.7323W,3.4,15.7,0,405.4792787820006
-51,0,5.5377492419453835,4739.6196N,12206.7502W,4.3,18.7,0,420.50017840200053
-51,-3,2.449489742783178,4739.6198N,12206.6755W,3.9,16.6,0,435.5206741310003
-51,-1,2.9495762407505253,4739.6506N,12206.6499W,4.5,12.2,0,450.54135007700006
-51,0,3.049590136395381,4739.6527N,12206.6506W,4.3,0.0,0,465.56227569400016
-51,1,3.209361307176242,4739.6527N,12206.6506W,4.3,0.0,0,480.5830237370001
-51,3,3.6742346141747673,4739.6527N,12206.6506W,4.4,0.0,0,495.6036176460002
-51,2,3.420526275297414,4739.6527N,12206.6506W,4.4,0.0,0,510.6245619810006
-51,3,3.6742346141747673,4739.6527N,12206.6506W,4.4,0.0,0,525.6454474120001
-51,1,3.209361307176242,4739.6527N,12206.6506W,4.4,0.0,0,540.666348103
-51,-3,2.9495762407505253,4739.6533N,12206.6505W,5.8,0.0,0,555.6868230990003
-51,-6,3.420526275297414,4739.6534N,12206.6505W,6.5,0.0,0,570.705707786
-51,-4,3.049590136395381,4739.6534N,12206.6505W,6.5,0.0,0,585.7185650450001
-51,-3,2.9495762407505253,4739.6534N,12206.6505W,6.5,0.0,0,600.736031251
